Date,Name of Vendors,Expense Description,Amount,Transaction Type,Expense Category,Account Name,Labels,Notes
11/29/2019,76 - 76 WFG GEARY SAN FRANCISCOCA,76 - 76 WFG GEARY SAN FRANCISCOCA,32.87,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
11/29/2019,VALLEY FAIR (CA) Santa Clara CA,VALLEY FAIR (CA) Santa Clara CA,54.5,debit,Restaurants,XXXX-XXXX-XXXX-2118,,
11/29/2019,Whole Foods,WHOLEFDS STC 10267,49.56,debit,Groceries,XXXXXXXXXX1112,,
11/29/2019,Whole Foods,WHOLEFDS STC 10267,49.56,debit,Groceries,CREDITCARD Account,,
11/29/2019,99 Ranch Market,99 RANCH #1768,23.26,debit,Groceries,CREDITCARD Account,,
11/29/2019,99 Ranch Market,99 RANCH #1768,23.26,debit,Groceries,XXXXXXXXXX1112,,
11/29/2019,LA PATISSERIE BAKERY,LA PATISSERIE BAKERY,44.23,debit,Restaurants,CREDITCARD Account,,
11/29/2019,G1 Auto Test and Repair,G1 AUTO TEST AND REPAI,110,debit,Home,CREDITCARD Account,,
11/29/2019,LA PATISSERIE BAKERY,LA PATISSERIE BAKERY,44.23,debit,Restaurants,XXXXXXXXXX1112,,
11/29/2019,G1 Auto Test and Repair,G1 AUTO TEST AND REPAI,110,debit,Home,XXXXXXXXXX1112,,
11/29/2019,7-Eleven,7-ELEVEN 14281           SAN JOSE     CA,8.74,debit,Fast Food,CREDITCARD Account,,
11/28/2019,INTEREST CHARGE ON PURCHASES,INTEREST CHARGE ON PURCHASES,72.27,debit,Finance Charge,XXXX-XXXX-XXXX-7998,,
11/28/2019,PAYMENT - THANK YOU,PAYMENT - THANK YOU,50,credit,Credit Card Payment,XXXX-XXXX-XXXX-2118,,
11/28/2019,To Loan 99302 377880403,To Loan 99302,210,debit,Auto Payment,FREE CHECKING,,
11/27/2019,Safeway,SAFEWAY #767 SAN JOSE CA,5.52,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
11/27/2019,Costco,COSTCO WHSE #0129 SANTA CLARA CA,280.87,debit,Shopping,Costco Anywhere Visa® Card by Citi,,
11/27/2019,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,12.99,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
11/27/2019,Whole Foods,WHOLEFDS STC 10267,39.77,debit,Groceries,CREDITCARD Account,,
11/27/2019,Whole Foods,WHOLEFDS STC 10267,39.77,debit,Groceries,XXXXXXXXXX1112,,
11/26/2019,Cupertino Valero,CUPERTINO VALERO CUPERTINO CA,53.12,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
11/26/2019,DEPOSIT RAISER LLC EUZQRJZDEB2YVI2 377600502,ACH DEPOSIT RAISER LLC EUZQRJZDE,82.84,credit,Income,FREE CHECKING,,
11/25/2019,Target,TARGET 00022814 SAN JOSE CA,44.43,debit,Shopping,Costco Anywhere Visa® Card by Citi,,
11/25/2019,Target,TARGET 00022814 SAN JOSE CA,2.09,debit,Shopping,Costco Anywhere Visa® Card by Citi,,
11/23/2019,United Pacific,76 - DBA UNITED PACIFIC 2CUPERTINO CA,20.55,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
11/23/2019,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,119.28,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
11/23/2019,INTL GOURMET FOODS SAN JOSE CA,INTL GOURMET FOODS SAN JOSE CA,40.65,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
11/23/2019,Anwar Bazaar & Bakery,ANWAR BAZAAR & BAKERY SAN JOSE CA,22.87,debit,Restaurants,Costco Anywhere Visa® Card by Citi,,
11/23/2019,Safeway,SAFEWAY #767 SAN JOSE CA,7.46,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
11/22/2019,Macys.com,MACYS.COM New York NY,76.3,debit,Clothing,XXXX-XXXX-XXXX-2118,,
11/21/2019,Deerfield Il,ONLINE PAYMENT DEERFIELD IL,700,credit,Credit Card Payment,XXXX-XXXX-XXXX-7998,,
11/20/2019,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,106.13,debit,Finance Charge,XXXXXXXXXX1112,,
11/20/2019,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,106.13,debit,Finance Charge,CREDITCARD Account,,
11/19/2019,Recology,RECOLOGY SOUTH BAY       408-588-7200 CA,34.25,debit,Utilities,CREDITCARD Account,,
11/19/2019,DEPOSIT RAISER LLC OK5T4W3LYL0G7S5 375954570,ACH DEPOSIT RAISER LLC OK5T4W3LY,80.27,credit,Income,FREE CHECKING,,
11/18/2019,"ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU",500,credit,Credit Card Payment,Costco Anywhere Visa® Card by Citi,,
11/18/2019,INTEREST CHARGED TO STANDARD PURCH,INTEREST CHARGED TO STANDARD PURCH,43.18,debit,Finance Charge,Costco Anywhere Visa® Card by Citi,,
11/18/2019,Netflix,Netflix.com,12.99,debit,Movies & DVDs,CREDITCARD Account,,
11/18/2019,CAPITAL ONE ONLINE payment AuthDate 18-Nov,CAPITAL ONE ONLINE PYMT AuthDate 18-N ov,500,credit,Credit Card Payment,CREDITCARD Account,,
11/18/2019,Netflix,Netflix.com,12.99,debit,Movies & DVDs,XXXXXXXXXX1112,,
11/18/2019,CAPITAL ONE ONLINE payment AuthDate 18-Nov,CAPITAL ONE ONLINE PYMT AuthDate 18-N ov,500,credit,Credit Card Payment,XXXXXXXXXX1112,,
11/18/2019,CVS,CVS/PHARMACY #09856,15.24,debit,Pharmacy,CREDITCARD Account,,
11/18/2019,VSP 800-785-0699 800-785-0699 TX,VSP 800-785-0699         800-785-0699 TX,30.93,debit,Eyecare,CREDITCARD Account,,
11/17/2019,Best Buy,"BEST BUY, Mountain View, CA",22.78,debit,Electronics & Software,XXXX-XXXX-XXXX-7998,,
11/17/2019,To Loan 99301 375383725,To Loan 99301,39.73,debit,Auto Payment,FREE CHECKING,,
11/16/2019,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,4.87,debit,Finance Charge,CREDITCARD Account,,
11/16/2019,MEDI-CAL FOR FAMILIES billerpaymentCA,MEDI-CAL FOR FAMILIES billerpaymentCA,52,debit,Health Insurance,Costco Anywhere Visa® Card by Citi,,
11/16/2019,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,10.13,debit,Finance Charge,Platinum Mastercard,,
11/14/2019,CAPITAL ONE ONLINE payment AuthDate 14-Nov,CAPITAL ONE ONLINE PYMT AuthDate 14-N ov,500,credit,Credit Card Payment,XXXXXXXXXX1112,,
11/14/2019,"ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU",500,credit,Credit Card Payment,Costco Anywhere Visa® Card by Citi,,
11/14/2019,CAPITAL ONE ONLINE payment AuthDate 14-Nov,CAPITAL ONE ONLINE PYMT AuthDate 14-N ov,500,credit,Credit Card Payment,CREDITCARD Account,,
11/13/2019,CAPITAL ONE ONLINE payment AuthDate 13-Nov,CAPITAL ONE ONLINE PYMT AuthDate 13-N ov,50,credit,Credit Card Payment,CREDITCARD Account,,
11/13/2019,CAPITAL ONE ONLINE payment AuthDate 13-Nov,CAPITAL ONE ONLINE PYMT AuthDate 13-N ov,30,credit,Credit Card Payment,Platinum Mastercard,,
11/13/2019,DEPOSIT RAISER LLC SMZJ9KBKVQXI9PH 374365716,ACH DEPOSIT RAISER LLC SMZJ9KBKV,48.86,credit,Income,FREE CHECKING,,
11/12/2019,Udr Inc.,UDR INC                  720-2836075  CO,252.5,debit,Home,CREDITCARD Account,,
11/11/2019,CAPITAL ONE ONLINE payment AuthDate 11-N ov,CAPITAL ONE ONLINE PYMT AuthDate 11-N ov,200,credit,Credit Card Payment,XXXXXXXXXX1112,,
11/11/2019,CAPITAL ONE ONLINE payment AuthDate 11-Nov,CAPITAL ONE ONLINE PYMT AuthDate 11-N ov,200,credit,Credit Card Payment,CREDITCARD Account,,
11/11/2019,Wal-Mart,WAL-MART #2280,30,debit,Shopping,CREDITCARD Account,,
11/11/2019,Wal-Mart,WAL-MART #2280,50.01,debit,Shopping,CREDITCARD Account,,
11/11/2019,Anwar Bazaar & Bakery,ANWAR BAZAAR & BAKERY    SAN JOSE     CA,28.7,debit,Restaurants,CREDITCARD Account,,
11/11/2019,Rotten Robbie,ROTTEN ROBBIE #01        LOS GATOS    CA,63.05,debit,Gas & Fuel,CREDITCARD Account,,
11/11/2019,Wal-Mart,WAL-MART #2280           MOUNTAIN VIEWCA,162.41,debit,Shopping,CREDITCARD Account,,
11/11/2019,Wal-Mart,WAL-MART #2280           MOUNTAIN VIEWCA,46.27,debit,Shopping,CREDITCARD Account,,
11/10/2019,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,20.66,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
11/10/2019,Anwar Bazaar & Bakery,ANWAR BAZAAR & BAKERY SAN JOSE CA,55.22,debit,Restaurants,Costco Anywhere Visa® Card by Citi,,
11/10/2019,United Pacific,76 - DBA UNITED PACIFIC 2CUPERTINO CA,21.3,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
11/9/2019,"ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU",450,credit,Credit Card Payment,Costco Anywhere Visa® Card by Citi,,
11/9/2019,"ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU",100,credit,Credit Card Payment,Costco Anywhere Visa® Card by Citi,,
11/9/2019,Costco,COSTCO WHSE #0423 SUNNYVALE CA,195.63,debit,Shopping,Costco Anywhere Visa® Card by Citi,,
11/8/2019,*CDC 408-5567300 CA,*CDC                     408-5567300  CA,1141,debit,Kids,CREDITCARD Account,,
11/8/2019,Interest Charge on Purchases,Interest Charge on Purchases,19.39,debit,Finance Charge,XXXX-XXXX-XXXX-2118,,
11/8/2019,PURCHASE *FINANCE CHARGE*,PURCHASE *FINANCE CHARGE*,58.56,debit,Finance Charge,CREDITCARD Account,,
11/7/2019,INTEREST CHARGED ON PURCHASES,INTEREST CHARGED ON PURCHASES,60.63,debit,Service Fee,CREDITCARD Account,,
11/6/2019,Comcast,COMCAST CALIFORNIA 800-COMCAST CA,29.99,debit,Television,XXXX-XXXX-XXXX-7998,,
11/6/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,1100,credit,Credit Card Payment,CREDITCARD Account,,
11/6/2019,INTEREST CHARGED ON DIR DEP&CHK CASHADV,INTEREST CHARGED ON DIR DEP&CHK CASHADV,5.59,debit,Service Fee,CREDITCARD Account,,
11/6/2019,INTEREST CHARGED ON PURCHASES,INTEREST CHARGED ON PURCHASES,113.79,debit,Service Fee,CREDITCARD Account,,
11/6/2019,Patelco Credit Union,PATELCO CREDIT 2654 EL CAMINO RE,500,debit,Financial,FREE CHECKING,,
11/6/2019,Loan,From Loan 99302,500,credit,Income,FREE CHECKING,,
11/4/2019,Rotten Robbie,ROTTEN ROBBIE #25 CUPERTINO CA,43.29,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
11/4/2019,United Pacific,76 - DBA UNITED PACIFIC 2CUPERTINO CA,12.69,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
11/4/2019,XFINITY MOBILE 888-936-4968 PA,XFINITY MOBILE 888-936-4968 PA,13.05,debit,Mobile Phone,XXXX-XXXX-XXXX-7998,,
11/4/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,100,credit,Credit Card Payment,CREDITCARD Account,,
11/4/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,100,credit,Credit Card Payment,CREDITCARD Account,,
11/3/2019,7-Eleven,7-ELEVEN 18019 PETALUMA CA,4.07,debit,Fast Food,XXXX-XXXX-XXXX-7998,,
11/3/2019,REAL DONER TURKISH FOOD PETALUMA CA,REAL DONER TURKISH FOOD PETALUMA CA,40.74,debit,Food & Dining,XXXX-XXXX-XXXX-7998,,
11/3/2019,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,18.1,debit,Groceries,XXXX-XXXX-XXXX-7998,,
11/3/2019,KOZY KAR/KUNG FU ACTION TSAN FRANCISCOCA,KOZY KAR/KUNG FU ACTION TSAN FRANCISCOCA,4,debit,Alcohol & Bars,XXXX-XXXX-XXXX-7998,,
11/3/2019,KOZY KAR/KUNG FU ACTION TSAN FRANCISCOCA,KOZY KAR/KUNG FU ACTION TSAN FRANCISCOCA,1,debit,Alcohol & Bars,XXXX-XXXX-XXXX-7998,,
11/2/2019,Wild Goat Bistro,WILD GOAT BISTRO PETALUMA CA,50,debit,Restaurants,XXXX-XXXX-XXXX-7998,,
11/2/2019,PAYMENT - THANK YOU,PAYMENT - THANK YOU,29.24,credit,Credit Card Payment,XXXX-XXXX-XXXX-2118,,
11/2/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,100,credit,Credit Card Payment,CREDITCARD Account,,
11/1/2019,Facebook,SQ *FACEBOOK STORE MENLO PARK CA,21.85,debit,Advertising,XXXX-XXXX-XXXX-7998,,
11/1/2019,Facebook,SQ *FACEBOOK STORE MENLO PARK CA,9.01,debit,Advertising,XXXX-XXXX-XXXX-7998,,
11/1/2019,Chevron,CHEVRON 0206855 MENLO PARK CA,23.79,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
10/31/2019,Patelco W El,PATELCO CREDIT 332 W EL CAMINO R,385,credit,Income,FREE CHECKING,,
10/31/2019,To Loan 99302 371138459,To Loan 99302,500,debit,Auto Payment,FREE CHECKING,,
10/31/2019,To Loan 99302 371346705,To Loan 99302,3.64,debit,Auto Payment,FREE CHECKING,,
10/31/2019,Greendot Pasadena Caus,GreenDot Pasadena CAUS,49.93,credit,Income,FREE CHECKING,,
10/31/2019,Greendot Pasadena Caus,GreenDot Pasadena CAUS,36.65,credit,Income,FREE CHECKING,,
10/31/2019,DIVIDEND,,0.08,credit,Investments,POD Savings Account,,
10/30/2019,gotinder.com/help Tinder TX,gotinder.com/help Tinder TX,29.99,debit,Entertainment,XXXX-XXXX-XXXX-7998,,
10/30/2019,DEPOSIT STRIPE 370781889,ACH DEPOSIT STRIPE,43.06,credit,Income,FREE CHECKING,,
10/29/2019,INTEREST CHARGE ON PURCHASES,INTEREST CHARGE ON PURCHASES,83.92,debit,Finance Charge,XXXX-XXXX-XXXX-7998,,
10/29/2019,DEPOSIT RAISER LLC DQ4QTI8RV7AGYCE 370522090,ACH DEPOSIT RAISER LLC DQ4QTI8RV,25.25,credit,Income,FREE CHECKING,,
10/28/2019,Rotten Robbie,ROTTEN ROBBIE #25,58.88,debit,Gas & Fuel,XXXXXXXXXX1112,,
10/28/2019,Rotten Robbie,ROTTEN ROBBIE #25,58.88,debit,Gas & Fuel,CREDITCARD Account,,
10/25/2019,Double Apples Hookah,SQ *DOUBLE APPLES H      CAMPBELL     CA,34.5,debit,Business Services,CREDITCARD Account,,
10/25/2019,*CDC 408-5567300 CA,*CDC                     408-5567300  CA,270.6,debit,Kids,CREDITCARD Account,,
10/24/2019,Deerfield Il,ONLINE PAYMENT DEERFIELD IL,500,credit,Credit Card Payment,XXXX-XXXX-XXXX-7998,,
10/24/2019,Amazon,AMZN Mktp US*0Y5BH0CS3   Amzn.com/billWA,16.34,debit,Shopping,CREDITCARD Account,,
10/23/2019,*CDC,*CDC,170,debit,Babysitter & Daycare,XXXXXXXXXX1112,,
10/23/2019,*CDC,*CDC,170,debit,Babysitter & Daycare,CREDITCARD Account,,
10/23/2019,BA ELECTRONIC PAYMENT,BA ELECTRONIC PAYMENT,250,credit,Credit Card Payment,CREDITCARD Account,,
10/22/2019,Lucky,LUCKY #773 SANTA CL      SANTA CLARA  CA,2.51,debit,Groceries,CREDITCARD Account,,
10/21/2019,GARLIC,GARLIC,12.5,debit,Restaurants,XXXXXXXXXX1112,,
10/21/2019,GARLIC,GARLIC,12.5,debit,Restaurants,CREDITCARD Account,,
10/21/2019,TAJ MAHAL SANTA CLARA CA,TAJ MAHAL                SANTA CLARA  CA,15.12,debit,Groceries,CREDITCARD Account,,
10/20/2019,Rotten Robbie,ROTTEN ROBBIE #25 CUPERTINO CA,48.63,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
10/20/2019,Solutions,TITAN SCHOOL SOLUTIONS TITANK12.COM CA,2.6,debit,Shopping,Costco Anywhere Visa® Card by Citi,,
10/20/2019,Cupertino Union 76,CUPERTINO UNION SD 916-467-4700 CA,85,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
10/20/2019,Patelco El Camino,PATELCO CREDIT 2654 EL CAMINO RE,100,credit,Income,FREE CHECKING,,
10/20/2019,Patelco El Camino,PATELCO CREDIT 2654 EL CAMINO RE,200,credit,Income,FREE CHECKING,,
10/20/2019,To Loan 99301 TL01 368793323,To Loan 99301 TL01,439.73,debit,Auto Payment,FREE CHECKING,,
10/19/2019,Exxon,EXXONMOBIL    48227144,20.12,debit,Gas & Fuel,XXXXXXXXXX1112,,
10/19/2019,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,106.7,debit,Finance Charge,XXXXXXXXXX1112,,
10/19/2019,Exxon,EXXONMOBIL    48227144,20.12,debit,Gas & Fuel,CREDITCARD Account,,
10/19/2019,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,106.7,debit,Finance Charge,CREDITCARD Account,,
10/19/2019,Greendot Pasadena Caus,GreenDot Pasadena CAUS,118.82,credit,Income,FREE CHECKING,,
10/19/2019,Lyft Exp San,Lyft 1019 Exp San FranciscoCAUS,15.59,credit,Income,FREE CHECKING,,
10/18/2019,CAPITAL ONE ONLINE payment AuthDate 18-O ct,CAPITAL ONE ONLINE PYMT AuthDate 18-O ct,200,credit,Credit Card Payment,XXXXXXXXXX1112,,
10/18/2019,*CDC 408-5567300 CA,*CDC 408-5567300 CA,150,debit,Babysitter & Daycare,Costco Anywhere Visa® Card by Citi,,
10/18/2019,Solutions,TITAN SCHOOL SOLUTIONS TITANK12.COM CA,2.6,debit,Shopping,XXXX-XXXX-XXXX-7998,,
10/18/2019,Cupertino Union 76,CUPERTINO UNION SD 916-467-4700 CA,20,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
10/18/2019,CAPITAL ONE ONLINE payment AuthDate 18-Oct,CAPITAL ONE ONLINE PYMT AuthDate 18-O ct,200,credit,Credit Card Payment,CREDITCARD Account,,
10/17/2019,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,9.96,debit,Finance Charge,Platinum Mastercard,,
10/17/2019,Netflix,NETFLIX.COM,12.99,debit,Movies & DVDs,CREDITCARD Account,,
10/17/2019,Netflix,NETFLIX.COM,12.99,debit,Movies & DVDs,XXXXXXXXXX1112,,
10/17/2019,INTEREST CHARGE:PURCHASES,INTEREST CHARGE:PURCHASES,4.02,debit,Finance Charge,CREDITCARD Account,,
10/16/2019,YMCA,YMCA SILICON VALLEY-AO DR408-351-6473 CA,65,credit,Gym,CREDITCARD Account,,
10/16/2019,YMCA,YMCA SILICON VALLEY-AO DR408-351-6473 CA,65,credit,Gym,CREDITCARD Account,,
10/16/2019,INTEREST CHARGED TO STANDARD PURCH,INTEREST CHARGED TO STANDARD PURCH,40.27,debit,Finance Charge,Costco Anywhere Visa® Card by Citi,,
10/16/2019,YMCA,YMCA SILICON VALLEY-AO DR408-351-6473 CA,65,credit,Gym,Bank of America Cash Rewards Visa Signature,,
10/16/2019,YMCA,YMCA SILICON VALLEY-AO DR408-351-6473 CA,65,credit,Gym,Bank of America Cash Rewards Visa Signature,,
10/16/2019,DEPOSIT ROADIEINC 8446976234 367562618,ACH DEPOSIT ROADIEINC 8446976234,0.05,credit,Income,FREE CHECKING,,
10/16/2019,DEPOSIT ROADIEINC 8446976234 367562619,ACH DEPOSIT ROADIEINC 8446976234,0.02,credit,Income,FREE CHECKING,,
10/15/2019,Rotten Robbie,ROTTEN ROBBIE #25 CUPERTINO CA,15.78,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
10/15/2019,CAPITAL ONE ONLINE payment AuthDate 15-Oct,CAPITAL ONE ONLINE PYMT AuthDate 15-O ct,200,credit,Credit Card Payment,CREDITCARD Account,,
10/15/2019,CAPITAL ONE ONLINE payment AuthDate 15-Oct,CAPITAL ONE ONLINE PYMT AuthDate 15-Oct,200,credit,Credit Card Payment,XXXXXXXXXX1112,,
10/15/2019,Recology,RECOLOGY SOUTH BAY 408-588-7200 CA,34.25,debit,Utilities,XXXX-XXXX-XXXX-7998,,
10/15/2019,"ONLINE PAYMENT, THANK YOU","ONLINE PAYMENT, THANK YOU",300,credit,Credit Card Payment,Costco Anywhere Visa® Card by Citi,,
10/15/2019,Wal-Mart,WM SUPERCENTER #5435,5.98,debit,Shopping,CREDITCARD Account,,
10/15/2019,Wal-Mart,WM SUPERCENTER #5435,48.65,debit,Shopping,CREDITCARD Account,,
10/15/2019,CAPITAL ONE ONLINE payment AuthDate 15-Oct,CAPITAL ONE ONLINE PYMT AuthDate 15-Oct,200,credit,Credit Card Payment,CREDITCARD Account,,
10/14/2019,Auto Center,DAR AUTO CENTER INC,66.78,debit,Auto & Transport,CREDITCARD Account,,
10/14/2019,Comcast,COMCAST CALIFORN CS 1X,29.99,debit,Television,CREDITCARD Account,,
10/14/2019,Auto Center,DAR AUTO CENTER INC,66.78,debit,Auto & Transport,XXXXXXXXXX1112,,
10/14/2019,Comcast,COMCAST CALIFORN CS 1X,29.99,debit,Television,XXXXXXXXXX1112,,
10/14/2019,PAYMENT - THANK YOU,PAYMENT - THANK YOU,300,credit,Credit Card Payment,XXXX-XXXX-XXXX-7998,,
10/14/2019,Best Buy,"BEST BUY, San Jose, CA",10.9,debit,Electronics & Software,XXXX-XXXX-XXXX-7998,,
10/14/2019,Auto Center,DAR AUTO CENTER INC,66.78,debit,Auto & Transport,CREDITCARD Account,,
10/14/2019,Comcast,COMCAST CALIFORN CS 1X,29.99,debit,Television,CREDITCARD Account,,
10/13/2019,Rotten Robbie,ROTTEN ROBBIE #55 SAN JOSE CA,21.48,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
10/13/2019,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,34.09,debit,Groceries,XXXX-XXXX-XXXX-7998,,
10/13/2019,ALLARD FARMS WESTLEY CA,SQ *ALLARD FARMS WESTLEY CA,13.3,debit,Groceries,XXXX-XXXX-XXXX-7998,,
10/12/2019,CAPITAL ONE ONLINE payment AuthDate 12-Oct,CAPITAL ONE ONLINE PYMT AuthDate 12-O ct,25,credit,Credit Card Payment,Platinum Mastercard,,
10/12/2019,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,9.13,debit,Groceries,XXXX-XXXX-XXXX-7998,,
10/12/2019,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,16,debit,Groceries,XXXX-XXXX-XXXX-7998,,
10/12/2019,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,13.93,debit,Groceries,XXXX-XXXX-XXXX-7998,,
10/12/2019,THANK YOU,ONLINE PAYMENT THANK YOU,42.84,credit,Credit Card Payment,XXXXXXXXXX5662,,
10/11/2019,Cupertino Union 76,CUPERTINO UNION SD,10,debit,Gas & Fuel,CREDITCARD Account,,
10/11/2019,TITAN SCHOOL SOLUTIONS,TITAN SCHOOL SOLUTIONS,2.6,debit,Tuition,CREDITCARD Account,,
10/11/2019,TITAN SCHOOL SOLUTIONS,TITAN SCHOOL SOLUTIONS,2.6,debit,Tuition,Business Advantage Cash Rewards,,
10/11/2019,Cupertino Union 76,CUPERTINO UNION SD,10,debit,Gas & Fuel,Business Advantage Cash Rewards,,
10/10/2019,Rotten Robbie,ROTTEN ROBBIE #25        CUPERTINO    CA,62.26,debit,Gas & Fuel,CREDITCARD Account,,
10/10/2019,Rewards Special Offer,REWARDS SPECIAL OFFER CREDIT,10.8,credit,Credit Card Payment,CREDITCARD Account,,
10/10/2019,Rewards Special Offer,REWARDS SPECIAL OFFER CREDIT,10.8,credit,Credit Card Payment,CREDITCARD Account,,
10/10/2019,S F CONSERVANCY HTTPSSFCONSERNY,S F CONSERVANCY HTTPSSFCONSERNY,50,debit,Restaurants,XXXX-XXXX-XXXX-7998,,
10/10/2019,Rotten Robbie,ROTTEN ROBBIE #25 CUPERTINO CA,62.26,debit,Gas & Fuel,Bank of America Cash Rewards Visa Signature,,
10/10/2019,Rewards Special Offer,REWARDS SPECIAL OFFER CREDIT,10.8,credit,Credit Card Payment,XXXXXXXXXX1112,,
10/9/2019,Interest Charge on Purchases,Interest Charge on Purchases,20.24,debit,Finance Charge,XXXX-XXXX-XXXX-2118,,
10/8/2019,PURCHASE *FINANCE CHARGE*,PURCHASE *FINANCE CHARGE*,56.89,debit,Finance Charge,CREDITCARD Account,,
10/8/2019,PAYMENT - THANK YOU,PAYMENT - THANK YOU,30,credit,Credit Card Payment,CREDITCARD Account,,
10/8/2019,PAYMENT - THANK YOU,PAYMENT - THANK YOU,30,credit,Credit Card Payment,XXXXXXXXXX1993,,
10/8/2019,PURCHASE *FINANCE CHARGE*,PURCHASE *FINANCE CHARGE*,56.89,debit,Finance Charge,CORP Account - Business Advantage Cash Rewards,,
10/8/2019,LATE FEE,LATE FEE,25,debit,Late Fee,XXXXXXXXXX1993,,
10/7/2019,INTEREST CHARGED ON PURCHASES,INTEREST CHARGED ON PURCHASES,59.86,debit,Service Fee,CREDITCARD Account,,
10/7/2019,INTEREST CHARGED ON PURCHASES,INTEREST CHARGED ON PURCHASES,59.86,debit,Finance Charge,Bank of America Cash Rewards Visa Platinum Plus,,
